Time,Pressure_Main,Pressure_LL
10/23/2017 16:24,7.20E-09,2.30E-08
10/23/2017 16:39,7.30E-09,2.20E-08
10/23/2017 16:54,7.30E-09,2.20E-08
10/23/2017 17:09,7.50E-09,2.20E-08
10/23/2017 17:24,7.50E-09,2.20E-08
10/23/2017 17:39,7.50E-09,2.20E-08
10/23/2017 17:54,7.70E-09,2.20E-08
10/23/2017 18:09,7.60E-09,2.20E-08
10/23/2017 18:24,7.60E-09,2.20E-08
10/23/2017 18:39,7.70E-09,2.10E-08
10/23/2017 18:54,7.70E-09,2.10E-08
10/23/2017 19:09,7.70E-09,2.10E-08
10/23/2017 19:24,7.60E-09,2.10E-08
10/23/2017 19:40,7.60E-09,2.00E-08
10/23/2017 19:55,7.60E-09,2.00E-08
10/23/2017 20:10,7.60E-09,2.00E-08
10/23/2017 20:25,7.70E-09,1.90E-08
10/23/2017 20:40,7.50E-09,1.90E-08
10/23/2017 20:55,7.60E-09,1.90E-08
10/23/2017 21:10,7.60E-09,1.80E-08
10/23/2017 21:25,7.40E-09,1.80E-08
10/23/2017 21:40,7.40E-09,1.80E-08
10/23/2017 21:55,7.40E-09,1.70E-08
10/23/2017 22:10,7.30E-09,1.70E-08
10/23/2017 22:25,7.20E-09,1.70E-08
10/23/2017 22:40,7.30E-09,1.70E-08
10/23/2017 22:55,7.40E-09,1.70E-08
10/23/2017 23:10,7.30E-09,1.60E-08
10/23/2017 23:25,7.30E-09,1.60E-08
10/23/2017 23:40,7.20E-09,1.60E-08
10/23/2017 23:55,7.20E-09,1.50E-08
10/24/2017 0:10,7.10E-09,1.60E-08
10/24/2017 0:25,7.10E-09,1.60E-08
10/24/2017 0:40,7.10E-09,1.60E-08
10/24/2017 0:55,7.20E-09,1.60E-08
10/24/2017 1:10,7.00E-09,1.60E-08
10/24/2017 1:25,7.30E-09,1.70E-08
10/24/2017 1:40,7.30E-09,1.70E-08
10/24/2017 1:55,7.20E-09,1.80E-08
10/24/2017 2:10,7.30E-09,1.80E-08
10/24/2017 2:26,7.20E-09,1.70E-08
10/24/2017 2:41,7.40E-09,1.80E-08
10/24/2017 2:56,7.50E-09,1.80E-08
10/24/2017 3:11,7.40E-09,1.80E-08
10/24/2017 3:26,7.40E-09,1.80E-08
10/24/2017 3:41,7.30E-09,1.80E-08
10/24/2017 3:56,7.40E-09,1.80E-08
10/24/2017 4:11,7.50E-09,1.80E-08
10/24/2017 4:26,7.60E-09,1.80E-08
10/24/2017 4:41,7.50E-09,1.80E-08
10/24/2017 4:56,7.60E-09,1.80E-08
10/24/2017 5:11,7.50E-09,1.80E-08
10/24/2017 5:26,7.60E-09,1.80E-08
10/24/2017 5:41,7.60E-09,1.80E-08
10/24/2017 5:56,7.50E-09,1.80E-08
10/24/2017 6:11,7.70E-09,1.70E-08
10/24/2017 6:26,7.70E-09,1.80E-08
10/24/2017 6:41,7.70E-09,1.80E-08
10/24/2017 6:56,7.70E-09,1.80E-08
10/24/2017 7:11,7.80E-09,1.80E-08
10/24/2017 7:26,7.90E-09,1.80E-08
10/24/2017 7:41,7.80E-09,1.70E-08
10/24/2017 7:56,7.80E-09,1.60E-08
10/24/2017 8:11,7.60E-09,1.60E-08
10/24/2017 8:26,7.80E-09,1.60E-08
10/24/2017 8:41,7.70E-09,1.60E-08
10/24/2017 8:56,7.60E-09,1.60E-08
10/24/2017 9:12,7.50E-09,1.60E-08
10/24/2017 9:27,7.70E-09,1.60E-08
10/24/2017 9:42,7.70E-09,1.60E-08
10/24/2017 9:57,7.70E-09,1.60E-08
10/24/2017 10:12,7.70E-09,1.60E-08
10/24/2017 10:27,7.70E-09,1.60E-08
10/24/2017 10:42,7.70E-09,1.50E-08
10/24/2017 10:57,7.60E-09,1.60E-08
10/24/2017 11:12,7.60E-09,1.60E-08
10/24/2017 11:27,7.60E-09,1.60E-08
10/24/2017 11:42,7.60E-09,1.50E-08
10/24/2017 11:57,7.70E-09,1.60E-08
10/24/2017 12:12,7.70E-09,1.50E-08
10/24/2017 12:27,7.60E-09,1.60E-08
10/24/2017 12:42,7.80E-09,1.60E-08
10/24/2017 12:57,7.70E-09,1.70E-08
10/24/2017 13:12,7.80E-09,1.70E-08
10/24/2017 13:27,7.90E-09,3.10E-08
10/24/2017 13:42,7.90E-09,8.80E-08
10/24/2017 13:57,8.00E-09,1.90E-07
10/24/2017 14:12,7.90E-09,3.40E-07
10/24/2017 14:27,7.90E-09,4.80E-07
10/24/2017 14:42,7.70E-09,5.30E-07
10/24/2017 14:57,7.80E-09,5.10E-07
10/24/2017 15:12,7.70E-09,5.00E-07
10/24/2017 15:27,7.70E-09,5.50E-07
10/24/2017 15:42,7.70E-09,5.60E-07
10/24/2017 15:58,7.70E-09,5.50E-07
10/24/2017 16:13,7.70E-09,5.40E-07
10/24/2017 16:28,7.60E-09,5.10E-07
10/24/2017 16:43,7.60E-09,4.80E-07
10/24/2017 16:58,7.50E-09,4.50E-07
10/24/2017 17:13,7.50E-09,4.30E-07
10/24/2017 17:28,7.50E-09,4.00E-07
10/24/2017 17:43,7.50E-09,3.80E-07
10/24/2017 17:47,7.50E-09,3.70E-07
10/24/2017 17:49,7.50E-09,3.60E-07
10/24/2017 17:51,7.40E-09,3.60E-07
10/24/2017 17:52,7.40E-09,3.70E-07
10/24/2017 17:52,7.50E-09,3.60E-07
10/24/2017 17:53,7.50E-09,3.60E-07
10/24/2017 17:57,7.50E-09,3.60E-07
10/24/2017 17:57,7.40E-09,3.50E-07
10/24/2017 17:57,7.50E-09,3.60E-07
10/24/2017 18:17,7.50E-09,3.20E-07
10/24/2017 18:18,7.50E-09,3.20E-07
10/24/2017 18:33,7.30E-09,3.40E-07
10/24/2017 18:38,7.40E-09,3.40E-07
10/24/2017 18:53,7.30E-09,3.90E-07
10/24/2017 19:08,7.40E-09,4.00E-07
10/24/2017 19:23,7.30E-09,4.10E-07
10/24/2017 19:38,7.30E-09,4.00E-07
10/24/2017 19:53,7.30E-09,3.90E-07
10/24/2017 20:08,7.40E-09,3.70E-07
10/24/2017 20:23,7.30E-09,3.60E-07
10/24/2017 20:38,7.30E-09,3.30E-07
10/24/2017 20:53,7.20E-09,3.10E-07
10/24/2017 21:08,7.40E-09,2.90E-07
10/24/2017 21:24,7.20E-09,2.90E-07
10/24/2017 21:39,7.20E-09,2.80E-07
10/24/2017 21:54,7.30E-09,2.60E-07
10/24/2017 22:09,7.30E-09,2.60E-07
10/24/2017 22:24,7.30E-09,2.50E-07
10/24/2017 22:39,7.30E-09,2.40E-07
10/24/2017 22:54,7.30E-09,2.40E-07
10/24/2017 23:09,7.40E-09,2.30E-07
10/24/2017 23:24,7.30E-09,2.20E-07
10/24/2017 23:39,7.40E-09,2.00E-07
10/24/2017 23:54,7.50E-09,2.00E-07
10/25/2017 0:09,7.50E-09,2.00E-07
10/25/2017 0:24,7.50E-09,1.80E-07
10/25/2017 0:39,7.50E-09,1.80E-07
10/25/2017 0:54,7.50E-09,1.60E-07
10/25/2017 1:09,7.60E-09,1.60E-07
10/25/2017 1:24,7.50E-09,1.60E-07
10/25/2017 1:39,7.50E-09,1.50E-07
10/25/2017 1:54,7.50E-09,1.50E-07
10/25/2017 2:09,7.60E-09,1.40E-07
10/25/2017 2:24,7.60E-09,1.40E-07
10/25/2017 2:39,7.50E-09,1.30E-07
10/25/2017 2:54,7.60E-09,1.30E-07
10/25/2017 3:09,7.60E-09,1.30E-07
10/25/2017 3:24,7.60E-09,1.30E-07
10/25/2017 3:39,7.50E-09,1.30E-07
10/25/2017 3:55,7.70E-09,1.20E-07
10/25/2017 4:10,7.60E-09,1.20E-07
10/25/2017 4:25,7.60E-09,1.20E-07
10/25/2017 4:40,7.50E-09,1.10E-07
10/25/2017 4:55,7.70E-09,1.10E-07
10/25/2017 5:10,7.60E-09,1.10E-07
10/25/2017 5:25,7.60E-09,1.10E-07
10/25/2017 5:40,7.60E-09,1.10E-07
10/25/2017 5:55,7.70E-09,1.00E-07
10/25/2017 6:10,7.70E-09,1.00E-07
10/25/2017 6:25,7.60E-09,9.90E-08
10/25/2017 6:40,7.60E-09,9.70E-08
10/25/2017 6:55,7.60E-09,9.60E-08
10/25/2017 7:10,7.60E-09,9.40E-08
10/25/2017 7:25,7.70E-09,9.10E-08
10/25/2017 7:40,7.60E-09,8.90E-08
10/25/2017 7:55,7.50E-09,8.60E-08
10/25/2017 8:10,7.40E-09,8.40E-08
10/25/2017 8:25,7.40E-09,8.10E-08
10/25/2017 8:40,7.40E-09,7.90E-08
10/25/2017 8:55,7.40E-09,7.70E-08
10/25/2017 9:10,7.20E-09,7.40E-08
10/25/2017 9:25,7.30E-09,7.20E-08
10/25/2017 9:40,7.20E-09,7.00E-08
10/25/2017 9:55,7.10E-09,6.80E-08
10/25/2017 10:10,7.10E-09,6.60E-08
10/25/2017 10:25,7.10E-09,6.50E-08
10/25/2017 10:41,7.00E-09,6.40E-08
10/25/2017 10:56,7.10E-09,6.30E-08
10/25/2017 11:08,7.00E-09,6.50E-08
10/25/2017 11:23,7.10E-09,7.50E-08
10/25/2017 11:38,7.20E-09,8.20E-08
10/25/2017 11:54,7.10E-09,1.10E-06
10/25/2017 12:09,7.00E-09,1.70E-06
10/25/2017 12:24,7.00E-09,1.60E-06
10/25/2017 12:39,7.10E-09,1.40E-06
10/25/2017 12:54,7.10E-09,1.10E-07
10/25/2017 13:09,7.00E-09,1.10E-07
10/25/2017 13:24,7.10E-09,1.10E-07
10/25/2017 13:39,7.10E-09,1.10E-07
10/25/2017 13:54,7.00E-09,1.10E-07
10/25/2017 14:09,7.10E-09,1.10E-07
10/25/2017 14:24,7.10E-09,1.00E-07
10/25/2017 14:39,7.10E-09,1.00E-07
10/25/2017 14:54,7.20E-09,1.00E-07
10/25/2017 15:09,7.10E-09,1.00E-07
10/25/2017 15:24,7.20E-09,7.90E-08
10/25/2017 15:39,7.10E-09,5.80E-08
10/25/2017 15:54,7.10E-09,4.10E-08
10/25/2017 16:09,7.10E-09,2.50E-08
10/25/2017 16:24,7.00E-09,1.70E-08
10/25/2017 16:39,7.00E-09,1.30E-08
10/25/2017 16:54,6.90E-09,8.50E-09
10/25/2017 17:09,6.90E-09,6.40E-09
10/25/2017 17:24,6.80E-09,5.00E-09
10/25/2017 17:39,1.10E-08,7.70E-09
10/25/2017 17:54,7.00E-09,5.50E-09
10/25/2017 18:09,6.60E-09,5.10E-09
10/25/2017 18:24,6.30E-09,4.80E-09
10/26/2017 12:22,5.30E-09,3.60E-09
10/26/2017 12:25,5.30E-09,3.60E-09
10/26/2017 12:25,5.30E-09,3.60E-09
10/26/2017 12:28,5.30E-09,3.60E-09
10/26/2017 12:30,5.20E-09,3.70E-09
10/26/2017 12:45,5.20E-09,3.60E-09
10/26/2017 13:01,5.20E-09,3.60E-09
10/26/2017 13:16,5.20E-09,3.60E-09
10/26/2017 13:31,5.30E-09,3.60E-09
10/26/2017 13:47,5.30E-09,3.70E-09
10/26/2017 14:02,5.30E-09,3.60E-09
10/26/2017 14:18,5.20E-09,3.60E-09
10/26/2017 14:33,4.10E-09,3.00E-09
10/26/2017 14:48,3.70E-09,2.80E-09
10/26/2017 15:04,3.70E-09,2.80E-09
10/26/2017 15:19,3.70E-09,2.80E-09
10/26/2017 15:34,3.70E-09,2.90E-09
10/26/2017 15:50,3.80E-09,2.90E-09
10/26/2017 16:05,3.90E-09,2.90E-09
10/26/2017 16:21,3.90E-09,2.90E-09
10/26/2017 16:36,3.90E-09,3.00E-09
10/26/2017 16:51,4.00E-09,3.00E-09
10/26/2017 17:07,4.00E-09,3.00E-09
10/26/2017 17:22,4.10E-09,3.00E-09
10/26/2017 17:38,4.00E-09,3.00E-09
10/26/2017 17:53,4.00E-09,3.00E-09
10/26/2017 18:08,4.60E-09,1.80E-09
10/26/2017 18:24,4.70E-09,1.90E-09
10/26/2017 18:39,4.60E-09,1.90E-09
10/26/2017 18:55,3.10E-08,1.70E-08
10/26/2017 19:10,3.20E-09,1.90E-09
10/26/2017 19:25,3.10E-09,2.00E-09
10/26/2017 19:41,3.20E-09,2.00E-09
10/26/2017 19:56,3.30E-09,2.00E-09
10/26/2017 20:11,3.30E-09,1.90E-09
10/26/2017 20:27,3.50E-09,1.90E-09
10/26/2017 20:42,3.50E-09,1.90E-09
10/26/2017 20:58,3.50E-09,1.90E-09
10/26/2017 21:13,3.60E-09,1.90E-09
10/26/2017 21:28,3.70E-09,1.90E-09
10/26/2017 21:44,3.80E-09,2.00E-09
10/26/2017 21:59,3.80E-09,2.00E-09
10/26/2017 22:15,3.80E-09,2.00E-09
10/26/2017 22:30,3.90E-09,2.00E-09
10/26/2017 22:45,3.90E-09,2.00E-09
10/26/2017 23:01,4.00E-09,2.00E-09
10/26/2017 23:16,4.00E-09,2.00E-09
10/26/2017 23:32,4.10E-09,2.00E-09
10/26/2017 23:47,4.20E-09,2.00E-09
10/27/2017 0:02,4.20E-09,2.00E-09
10/27/2017 0:18,4.20E-09,2.00E-09
10/27/2017 0:33,4.30E-09,2.00E-09
10/27/2017 0:48,4.30E-09,2.00E-09
10/27/2017 1:04,4.30E-09,2.00E-09
10/27/2017 1:19,4.30E-09,2.00E-09
10/27/2017 1:35,4.30E-09,2.00E-09
10/27/2017 1:50,4.30E-09,2.00E-09
10/27/2017 2:05,4.30E-09,2.00E-09
10/27/2017 2:21,4.40E-09,2.00E-09
10/27/2017 2:36,4.40E-09,2.00E-09
10/27/2017 2:52,4.30E-09,2.00E-09
10/27/2017 3:07,4.40E-09,2.00E-09
10/27/2017 3:22,4.50E-09,2.00E-09
10/27/2017 3:38,4.40E-09,2.00E-09
10/27/2017 3:53,4.50E-09,2.00E-09
10/27/2017 4:08,4.50E-09,2.00E-09
10/27/2017 4:24,4.50E-09,2.00E-09
10/27/2017 4:39,4.50E-09,2.00E-09
10/27/2017 4:55,4.50E-09,2.00E-09
10/27/2017 5:10,4.60E-09,2.00E-09
10/27/2017 5:25,4.60E-09,2.00E-09
10/27/2017 5:41,4.60E-09,2.00E-09
10/27/2017 5:56,4.50E-09,2.00E-09
10/27/2017 6:12,4.60E-09,2.00E-09
10/27/2017 6:27,4.60E-09,2.00E-09
10/27/2017 6:42,4.60E-09,2.00E-09
10/27/2017 6:58,4.60E-09,2.00E-09
10/27/2017 7:13,4.70E-09,2.00E-09
10/27/2017 7:29,4.70E-09,2.00E-09
10/27/2017 7:44,4.60E-09,2.00E-09
10/27/2017 7:59,4.60E-09,1.90E-09
10/27/2017 8:15,4.60E-09,1.90E-09
10/27/2017 8:30,4.60E-09,1.90E-09
10/27/2017 8:45,4.60E-09,1.90E-09
10/27/2017 9:01,4.60E-09,1.90E-09
10/27/2017 9:16,4.60E-09,1.90E-09
10/27/2017 9:32,4.60E-09,1.90E-09
10/27/2017 9:47,4.60E-09,1.90E-09
10/27/2017 10:02,4.60E-09,1.90E-09
10/27/2017 10:18,4.70E-09,1.90E-09
10/27/2017 10:33,4.60E-09,1.90E-09
10/27/2017 10:49,4.60E-09,1.90E-09
10/27/2017 11:04,4.70E-09,1.90E-09
10/27/2017 11:19,4.60E-09,1.90E-09
10/27/2017 11:35,4.70E-09,1.90E-09
10/27/2017 11:50,4.70E-09,1.90E-09
10/27/2017 12:06,4.70E-09,1.90E-09
10/27/2017 12:21,4.70E-09,1.90E-09
10/27/2017 12:36,4.70E-09,1.90E-09
10/27/2017 12:51,4.60E-09,1.90E-09
10/27/2017 13:06,4.70E-09,1.90E-09
10/27/2017 13:21,4.70E-09,1.90E-09
10/27/2017 13:36,4.70E-09,1.90E-09
